y=1160, x=336..349
y=1111, x=479..483
y=1369, x=409..419
x=413, y=698..701
x=450, y=953..962
y=528, x=427..432
y=678, x=532..545
y=663, x=380..386
x=511, y=595..623
x=460, y=1251..1263
y=670, x=380..386
y=702, x=453..473
x=340, y=1025..1040
x=343, y=1249..1266
x=455, y=1017..1039
y=1369, x=527..534
x=400, y=1219..1227
y=1565, x=336..341
x=358, y=245..257
y=845, x=447..451
x=398, y=1194..1208
x=429, y=1467..1480
y=544, x=384..386
x=445, y=1027..1052
y=232, x=521..524
y=1614, x=339..341
x=437, y=711..731
y=1377, x=343..356
y=1347, x=513..537
y=399, x=344..348
y=1601, x=373..435
x=480, y=647..660
x=350, y=89..94
y=7, x=438..458
y=1376, x=522..549
x=466, y=1406..1415
x=396, y=967..979
y=1215, x=519..530
x=368, y=1188..1195
x=356, y=506..514
x=479, y=993..1011
x=432, y=1383..1395
x=489, y=966..974
y=426, x=458..544
x=418, y=711..731
x=348, y=8..21
x=382, y=370..393
x=451, y=439..447
x=435, y=1596..1601
x=407, y=1059..1070
y=802, x=448..450
y=1364, x=350..361
y=1616, x=508..536
y=1532, x=539..545
x=397, y=658..678
x=387, y=66..89
x=493, y=1286..1289
y=1309, x=543..546
x=468, y=1235..1244
x=336, y=664..684
x=531, y=307..319
x=447, y=829..845
x=496, y=1527..1540
x=488, y=241..254
x=436, y=916..922
x=359, y=836..840
x=376, y=74..94
x=453, y=716..718
y=1183, x=452..467
y=62, x=520..522
x=479, y=1063..1071
x=502, y=1336..1344
y=1008, x=543..549
x=352, y=1546..1559
x=402, y=374..393
x=388, y=494..515
x=366, y=495..500
y=590, x=474..481
y=383, x=461..465
y=903, x=529..542
x=484, y=156..165
x=505, y=1337..1344
x=507, y=1255..1268
x=455, y=123..138
y=147, x=504..506
x=521, y=97..108
x=483, y=331..343
x=424, y=1363..1375
x=399, y=375..393
x=337, y=378..402
x=516, y=813..827
x=432, y=29..31
y=1266, x=343..367
y=837, x=463..472
x=537, y=1403..1420
x=532, y=968..970
y=684, x=336..342
x=375, y=1481..1490
y=518, x=458..476
y=629, x=428..436
x=502, y=286..296
x=546, y=1088..1093
x=458, y=506..518
x=424, y=335..351
x=440, y=773..784
x=493, y=869..874
x=463, y=967..974
y=806, x=538..543
y=954, x=334..360
y=254, x=485..488
x=379, y=842..864
x=537, y=969..970
y=1518, x=405..410
y=150, x=495..512
x=458, y=1209..1218
y=864, x=379..381
y=1324, x=430..434
x=505, y=887..893
y=602, x=523..534
y=494, x=438..464
x=435, y=39..54
x=531, y=1017..1043
x=441, y=1291..1302
x=476, y=1487..1499
x=452, y=174..179
y=750, x=488..511
x=466, y=1146..1158
x=361, y=408..426
y=1126, x=377..398
x=473, y=80..88
x=401, y=775..792
y=1165, x=381..402
x=410, y=781..784
x=435, y=1215..1231
x=367, y=625..643
x=486, y=1036..1046
x=485, y=1414..1439
x=544, y=157..162
